"성별","연령계층별","시점","15세이상인구[천명]","경제활동인구[천명]","취업자[천명]","실업자[천명]","비경제활동인구[천명]","경제활동참가율[%]","실업률[%]","고용률[%]",
"계","계","2016. 11 월","43729.9","27613","26761.9","851.1","16116.9","63.1","3.1","61.2",
"계","계","2016. 12 월","43755.3","27211","26347","864","16544.3","62.2","3.2","60.2",
"계","계","2017. 01 월","43790.4","26886","25878.3","1007.7","16904.4","61.4","3.7","59.1",
"계","계","2017. 02 월","43817.9","27320.9","25979.3","1341.7","16496.9","62.4","4.9","59.3",
"계","계","2017. 03 월","43846","27579.3","26442.5","1136.8","16266.7","62.9","4.1","60.3",
"계","계","2017. 04 월","43871.1","27911.4","26744.2","1167.1","15959.8","63.6","4.2","61",
"계","계","2017. 05 월","43902.3","27986.7","26991.9","994.8","15915.6","63.7","3.6","61.5",
"계","계","2017. 06 월","43924.3","28080.5","27019.9","1060.5","15843.9","63.9","3.8","61.5",
"계","계","2017. 07 월","43945.5","28036.6","27078.4","958.2","15908.9","63.8","3.4","61.6",
"계","계","2017. 08 월","43967.4","27903.3","26904.3","999","16064.1","63.5","3.6","61.2",
"계","계","2017. 09 월","43986.5","27942.7","27010.7","932","16043.8","63.5","3.3","61.4",
"계","계","2017. 10 월","44014.5","27919.7","27026.3","893.5","16094.7","63.4","3.2","61.4",
"계","계","2017. 11 월","44039.9","27889","27018.5","870.5","16150.9","63.3","3.1","61.4",
"계","계","2017. 12 월","44059.8","27516.4","26603.7","912.7","16543.4","62.5","3.3","60.4",
"계","계","2018. 01 월","44072.5","27232.3","26212.5","1019.8","16840.2","61.8","3.7","59.5",
"계","계","2018. 02 월","44092.6","27348.3","26082.8","1265.4","16744.3","62","4.6","59.2",
"계","계","2018. 03 월","44100","27811.4","26554.5","1256.9","16288.6","63.1","4.5","60.2",
"계","계","2018. 04 월","44122","28028.7","26867.6","1161.1","16093.3","63.5","4.1","60.9",
"계","계","2018. 05 월","44140.6","28184.4","27063.7","1120.7","15956.1","63.9","4","61.3",
"계","계","2018. 06 월","44160.8","28160.5","27126.3","1034.2","16000.3","63.8","3.7","61.4",
"계","계","2018. 07 월","44186.7","28122.5","27083.4","1039.1","16064.2","63.6","3.7","61.3",
"계","계","2018. 08 월","44211.3","28039.4","26906.8","1132.5","16171.9","63.4","4","60.9",
"계","계","2018. 09 월","44237.2","28079.4","27055.3","1024.1","16157.8","63.5","3.6","61.2",
"계","계","2018. 10 월","44262","28062.6","27090","972.6","16199.4","63.4","3.5","61.2",
"계","계","2018. 11 월","44284","28092.3","27183.8","908.5","16191.7","63.4","3.2","61.4",
"계","계","2018. 12 월","44315.5","27582.2","26638.1","944.1","16733.4","62.2","3.4","60.1",
"계","계","2019. 01 월","44318.8","27455.3","26231.6","1223.7","16863.5","61.9","4.5","59.2",
"계","계","2019. 02 월","44382.3","27648.7","26345.6","1303","16733.6","62.3","4.7","59.4",
"계","계","2019. 03 월","44409.1","28001.7","26804.7","1196.9","16407.5","63.1","4.3","60.4",
"계","계","2019. 04 월","44443.5","28283.5","27038.3","1245.1","16160","63.6","4.4","60.8",
"계","계","2019. 05 월","44459.8","28467.5","27322.4","1145.1","15992.3","64","4","61.5",
"계","계","2019. 06 월","44495.4","28544.8","27407.6","1137.2","15950.6","64.2","4","61.6",
"계","계","2019. 07 월","44529.8","28480.1","27382.8","1097.3","16049.6","64","3.9","61.5",
"계","계","2019. 08 월","44546.1","28216","27358.4","857.6","16330.1","63.3","3","61.4",
"계","계","2019. 09 월","44572.6","28287.6","27403.7","883.9","16285.1","63.5","3.1","61.5",
"계","계","2019. 10 월","44600.9","28373.1","27508.9","864.2","16227.8","63.6","3","61.7",
"계","계","2019. 11 월","44625","28380.4","27514.7","865.7","16244.6","63.6","3.1","61.7",
"계","계","2019. 12 월","44660.9","28095.3","27153.7","941.6","16565.6","62.9","3.4","60.8",
"계","계","2020. 01 월","44665.4","27952.3","26799.7","1152.7","16713","62.6","4.1","60",
"계","계","2020. 02 월","44698.2","27990.6","26837.8","1152.8","16707.6","62.6","4.1","60",
"계","계","2020. 03 월","44712.1","27789.1","26609.3","1179.7","16923.1","62.2","4.2","59.5",
